Country;Title;Completed;Reservoir capacity (million m3);Irrigation ;Water supply;Flood control;Hydroelectricity (MW);Used For;Latitude;Longitude
Burundi;Rwegura;Incomplete;;;;;x;   Hydroelectricity (MW);-29181;295194
Burundi;Rusumo Falls;Incomplete;17000;;;;x;   Hydroelectricity (MW);-23832;307878
Burundi;Mpanda;Incomplete;;;;;x;   Hydroelectricity (MW);-31676;29409
Burundi;Kaganuzi Complex;Incomplete;;;;;x;   Hydroelectricity (MW);-3025;296417
Burundi;Kabu 16;Incomplete;;;;;x;   Hydroelectricity (MW);-30183;292267
Burundi;Jiji 03;Incomplete;;;;;x;   Hydroelectricity (MW);-3916;29834
Democratic Republic of the Congo;Koni;1949;28;;;;x;   Hydroelectricity (MW);-107528;272444
Democratic Republic of the Congo;Bia;1950;;;;;;   ;-111833;271583
Democratic Republic of the Congo;N'Zilo I and II;1953;1733;;;;x;   Hydroelectricity (MW);-116667;26
Democratic Republic of the Congo;N'Seke;1956;7;;;;x;   Hydroelectricity (MW);-117531;262761
Democratic Republic of the Congo;Le Marinel;1956;;;;;;   ;-105;254667
Democratic Republic of the Congo;Ruzizi I;1959;146;;;;x;   Hydroelectricity (MW);-27333;29
Democratic Republic of the Congo;Zongo I and II;;;;;;x;   Hydroelectricity (MW);-53083;152
Democratic Republic of the Congo;Soleniama I;;;;;;x;   Hydroelectricity (MW);156;3024
Democratic Republic of the Congo;Ruzizi I and II;;;;;;x;   Hydroelectricity (MW);-25092;288752
Democratic Republic of the Congo;Piana Mwanga;;;;;;x;   Hydroelectricity (MW);-76667;281667
Democratic Republic of the Congo;M'Sha;;;;;;x;   Hydroelectricity (MW);-9;26
Democratic Republic of the Congo;Mobayi;;;;;;x;   Hydroelectricity (MW);44167;187944
Democratic Republic of the Congo;Budana;;;;;;x;   Hydroelectricity (MW);15667;301833
Democratic Republic of the Congo;Zongo;;975;;;;x;   Hydroelectricity (MW);-53083;152
Democratic Republic of the Congo;Sikila;1971;;;;;;   ;-58;1395
Democratic Republic of the Congo;Shongo;1971;;;;;;   ;-56;137667
Democratic Republic of the Congo;Fwamalo;1971;;;;;;   ;-57;139139
Democratic Republic of the Congo;Digue divers.;1971;;;;;;   ;-56083;138667
Democratic Republic of the Congo;Inga I;1972;20;;;;x;   Hydroelectricity (MW);-55444;136917
Democratic Republic of the Congo;Katobo;1973;;x;;;x;Irrigation, Hydroelectricity (MW);-57167;136333
Democratic Republic of the Congo;Mobaye;1990;;;;;x;   Hydroelectricity (MW);44167;187944
Democratic Republic of the Congo;Tshopo;Incomplete;;;;;x;   Hydroelectricity (MW);53;2519
Democratic Republic of the Congo;Ruzizi III;Incomplete;;;;;x;   Hydroelectricity (MW);-26994;289907
Democratic Republic of the Congo;Mwadingusha;Incomplete;;;;;x;   Hydroelectricity (MW);-9;26
Democratic Republic of the Congo;Katende;Incomplete;;;;;x;   Hydroelectricity (MW);-63167;224
Democratic Republic of the Congo;Inga-3;Incomplete;;;;;x;   Hydroelectricity (MW);-55284;136045
Democratic Republic of the Congo;Grand Inga;Incomplete;;;;;x;   Hydroelectricity (MW);-55432;135554
Democratic Republic of the Congo;Busanga;Incomplete;;;;;x;   Hydroelectricity (MW);-102245;253974
Democratic Republic of the Congo;Solen II;Incomplete;;;;;x;   Hydroelectricity (MW);156;3024
Egypt;Damietta Barrage Hpp;1840;;;;;x;   Hydroelectricity (MW);314133;31831
Egypt;Assiut barrage;1902;;x;;;;Irrigation    ;272028;311917
Egypt;Esna barrage;1908;;x;;;;Irrigation    ;253175;325572
Egypt;Nag-Hamady barrage;1930;;x;;;;Irrigation    ;261361;321694
Egypt;Old Aswan dam;1933;5000;x;;;x;Irrigation,  Hydroelectricity (MW);240331;328661
Egypt;Mohammad Ali;;;;;;;   ;302;311333
Egypt;El Saad-el Aali;;;;;;;   ;2395;328667
Egypt;- no name -;;1195;x;;;;Irrigation    ;291829;303963
Egypt;Wadi El Rayan;;1184;x;;;;Irrigation    ;304563;292371
Egypt;High Aswan dam;1970;162000;x;;x;x;Irrigation,   Flood control, Hydroelectricity (MW);239711;328792
Egypt;New Esna;1994;;;;;x;   Hydroelectricity (MW);253175;325572
Egypt;Naga Hamadi;Incomplete;;;;;x;   Hydroelectricity (MW);261361;321694
Ethiopia;Gafarsa;1955;7;;x;;; Water supply  ;87872;387056
Ethiopia;Tis Abay;;;;;;x;   Hydroelectricity (MW);114833;375833
Ethiopia;Awash I,II,III,IV;;;;;;x;   Hydroelectricity (MW);84667;391667
Ethiopia;Melka Wakena;1960;750;;;;x;   Hydroelectricity (MW);71761;394311
Ethiopia;Koka;1960;1900;x;;;x;Irrigation,   Hydroelectricity (MW);84683;391592
Ethiopia;- no name -;;2101;;;;;   ;102329;405379
Ethiopia;Finchaa;1973;650;;;;x;   Hydroelectricity (MW);95581;373661
Ethiopia;Legadadi (Main);1979;38;;x;;; Water supply  ;90658;389569
Ethiopia;Alwero;1995;746;x;;;;Irrigation    ;78603;344933
Ethiopia;Gilgel Gibe I;2004;917;;;;x;   Hydroelectricity (MW);7929;37391
Ethiopia;Tekeze;2009;9000;;;;x;   Hydroelectricity (MW);133;3871
Ethiopia;Beles;2010;;;;;x;   Hydroelectricity (MW);1168;3721
Ethiopia;Chemoga and Yeda;2013;;;;;x;   Hydroelectricity (MW);9863;37672
Ethiopia;Neshe;Incomplete;;;;;x;   Hydroelectricity (MW);963;3712
Ethiopia;Karadobi;Incomplete;;;;;x;   Hydroelectricity (MW);1029;3703
Ethiopia;Halelie and Werabessa;Incomplete;;;;;x;   Hydroelectricity (MW);859;3721
Ethiopia;Gojeb;Incomplete;;;;;x;   Hydroelectricity (MW);72348;369127
Ethiopia;Geba (1 and 2);Incomplete;;;;;x;   Hydroelectricity (MW);831;361
Ethiopia;Baro 2 + Genji;Incomplete;;;;;x;   Hydroelectricity (MW);823;3496
Ethiopia;Baro 1;Incomplete;;;;;x;   Hydroelectricity (MW);815;3517
Ethiopia;Aleltu East and West;Incomplete;;;;;x;   Hydroelectricity (MW);978;3883
Ethiopia;Mandaya;Incomplete;;;;;x;   Hydroelectricity (MW);100434;35553
Ethiopia;Genale Iv;Incomplete;;;;;x;   Hydroelectricity (MW);42667;420167
Ethiopia;Genale III;Incomplete;;;;;x;   Hydroelectricity (MW);42667;420167
Ethiopia;Border;Incomplete;;;;;x;   Hydroelectricity (MW);111996;350988
Kenya;Riuru;1949;298;;x;;; Water supply  ;-8833;3665
Kenya;Owen Falls;1954;20000;x;;;x;Irrigation,  Hydroelectricity (MW);4458;331875
Kenya;Sasumua;1956;1325;;x;;; Water supply  ;-7606;366819
Kenya;Tana;;;;;;x;   Hydroelectricity (MW);-78;3727
Kenya;Gitaru;1960;20;;;;x;   Hydroelectricity (MW);-6417;37675
Kenya;Kindaruma;1968;16;;;;x;   Hydroelectricity (MW);-8064;3781
Kenya;Kamburu;1974;150;;;;x;   Hydroelectricity (MW);-8122;376883
Kenya;Gitaru;1978;20;;;;x;   Hydroelectricity (MW);-6417;37675
Kenya;Masinga;1980;1560;;;x;x;  Flood control, Hydroelectricity (MW);-8786;375892
Kenya;Kikoneni;1981;126;;x;;; Water supply  ;-43333;391667
Kenya;Mulima;1982;275;;x;;; Water supply  ;-15333;373389
Kenya;Chemeron;1984;46;x;x;;;Irrigation,  Water supply  ;4333;359
Kenya;Manooni;1987;41;;x;;; Water supply  ;-23919;380544
Kenya;Kiambere;1987;585;;;;x;   Hydroelectricity (MW);-6411;379106
Kenya;Ellegirini;1987;2;;x;;; Water supply  ;5417;351639
Kenya;Turkwel;1991;1645;;;;x;   Hydroelectricity (MW);1915;353464
Kenya;Thika;1993;70;;x;;; Water supply  ;-75;37
Kenya;Sondu Miriu;2009;;;;;x;   Hydroelectricity (MW);-3464;348523
Kenya;Mutonga;Incomplete;5400;;;;x;   Hydroelectricity (MW);-4247;379218
Kenya;Munyu;Incomplete;;x;;;x;Irrigation,   Hydroelectricity (MW);-7833;3645
Kenya;Magwagwa;Incomplete;;;;;x;   Hydroelectricity (MW);-486;350352
Kenya;Ewaso Ngiro;Incomplete;;;;;x;   Hydroelectricity (MW);5667;368667
Kenya;Low Grand Falls;Incomplete;0;;;;x;   Hydroelectricity (MW);-4333;379333
Rwanda;Mukungwa;;;;;;x;   Hydroelectricity (MW);-15889;296375
Rwanda;Ruzizi 111;Incomplete;;;;;x;   Hydroelectricity (MW);-251;2884
Rwanda;Rusumo Falls;Incomplete;;;;;x;   Hydroelectricity (MW);-23836;30785
Rwanda;Nyabarongo;Incomplete;;;;;x;   Hydroelectricity (MW);-2;2963
Rwanda;PanzI;Incomplete;;;;;x;   Hydroelectricity (MW);-71179;180003
Rwanda;Ntaruka;Incomplete;;;;;x;   Hydroelectricity (MW);-20278;293994
South Sudan;Shukoli;Incomplete;;;;;x;   Hydroelectricity (MW);39167;317667
South Sudan;Lakki;Incomplete;;;;;x;   Hydroelectricity (MW);405;316167
South Sudan;Fula II;Incomplete;;;;;x;   Hydroelectricity (MW);365;319667
South Sudan;Bedden;Incomplete;;;;;x;   Hydroelectricity (MW);45906;315039
Sudan;Sennar;1925;930;x;;;x;Irrigation,   Hydroelectricity (MW);135475;33635
Sudan;Jebel Aulia Dam;1937;3500;x;;;x;Irrigation,  Hydroelectricity (MW);152389;324647
Sudan;Khashm El Gibra;1964;1300;x;;;x;Irrigation,  Hydroelectricity (MW);149253;359078
Sudan;Roseires;1966;3000;x;;;x;Irrigation,  Hydroelectricity (MW);117983;343883
Sudan;Merowe;2009;12500;;;;x;   Hydroelectricity (MW);187206;319857
Sudan;Shirri;Incomplete;;;;;x;   Hydroelectricity (MW);191386;325506
Sudan;Shereiq;Incomplete;;;;;x;   Hydroelectricity (MW);192263;334752
Sudan;Sabaloka;Incomplete;;;;;x;   Hydroelectricity (MW);163569;327074
Sudan;Morgat;Incomplete;;;;;x;   Hydroelectricity (MW);19287;326887
Sudan;Kajbar;Incomplete;;;;;x;   Hydroelectricity (MW);191667;304833
Sudan;Dal I;Incomplete;;;;;x;   Hydroelectricity (MW);213731;309287
Sudan;Dagash;Incomplete;;;;;x;   Hydroelectricity (MW);191638;324508
Sudan;Kashm Algirba;Incomplete;1300;;;;x;   Hydroelectricity (MW);149222;359083
Uganda;Owen Falls;1954;80000;x;;;x;Irrigation,  Hydroelectricity (MW);4458;331875
Uganda;Narubale;;;;;;x;   Hydroelectricity (MW);4432;331852
Uganda;Mubuku-3;;;;;;x;   Hydroelectricity (MW);1667;301
Uganda;KIIra;;;;;;x;   Hydroelectricity (MW);4501;331861
Uganda;Bujagali;2012;75;;;;x;   Hydroelectricity (MW);4969;331392
Uganda;Muzizi;Incomplete;;;;;x;   Hydroelectricity (MW);10244;305236
Uganda;Karuma Falls;Incomplete;;;;;x;   Hydroelectricity (MW);22667;3225
Uganda;Kalagala;Incomplete;;;;;x;   Hydroelectricity (MW);5962;330521
Uganda;Ishasha River;Incomplete;;;;;x;   Hydroelectricity (MW);-8681;296639
Uganda;Bugoye;Incomplete;;;;;x;   Hydroelectricity (MW);3383;300772
Uganda;Murchison Base 2;Incomplete;;;;;x;   Hydroelectricity (MW);22701;316249
Uganda;Masindi I;Incomplete;;;;;x;   Hydroelectricity (MW);16667;317166
Uganda;Bygoe;Incomplete;;;;;x;   Hydroelectricity (MW);309;300981
Uganda;Ayago North;Incomplete;;;;;x;   Hydroelectricity (MW);18167;324667
United Republic of Tanzania;Owen Falls;1954;100000;x;;;x;Irrigation,  Hydroelectricity (MW);4458;331875
United Republic of Tanzania;Hale Tanesco;1964;19;;;;x;   Hydroelectricity (MW);-52833;386
United Republic of Tanzania;Nyumba Ya Mungu;1966;870;x;;;x;Irrigation,  Hydroelectricity (MW);-361;374581
United Republic of Tanzania;Kidatu;1975;125;;;;x;   Hydroelectricity (MW);-76375;369139
United Republic of Tanzania;Mtera;1980;3200;;;;x;   Hydroelectricity (MW);-71367;359875
United Republic of Tanzania;Pangani Falls II;1994;8;;;;x;   Hydroelectricity (MW);-535;3865
United Republic of Tanzania;Rumakali;Incomplete;;;;;x;   Hydroelectricity (MW);-93333;339167
United Republic of Tanzania;Ruhudji;Incomplete;;;;;x;   Hydroelectricity (MW);-953;3523
United Republic of Tanzania;Kagera River;Incomplete;;;;;x;   Hydroelectricity (MW);-11936;310954
United Republic of Tanzania;Upper Kihansi;Incomplete;;;;;x;   Hydroelectricity (MW);-84;3635
United Republic of Tanzania;Stiegler Gorge III;Incomplete;;;;;x;   Hydroelectricity (MW);-78;378667
United Republic of Tanzania;Stiegler Gorge II;Incomplete;;;;;x;   Hydroelectricity (MW);-78;378667
United Republic of Tanzania;Stiegler Gorge I;Incomplete;;;;;x;   Hydroelectricity (MW);-78;378667
United Republic of Tanzania;Songwe;Incomplete;;;;;x;   Hydroelectricity (MW);-97032;339199
United Republic of Tanzania;Rusumo Falls;Incomplete;;;;;x;   Hydroelectricity (MW);-23753;307853
